Array Probe	Category Component
GAGE2A_20694	2574
GAGE2D_22568	2574
GAGE4_2578	2574
GALE_27250	2582
GAP43_26603	2596
GAPDH_2587	2597
GATA2_2599	2624
GATA3_2600	2625
GATA6_11986	2627
GDF9_10651	2661
GDI2_15353	2665
GDNF_24860	2668
GFPT1_2636	2673
GGCX_2638	2677
GGT1_19717	2678
GGT1_27266	2678
B4GALT1_603	2683
GGT5_11580	2687
GHR_2644	2690
GJA1_2649	2697
GJB2_2653	2706
GCLC_22866	2729
GCLM_25908	2730
GCLM_2615	2730
GLI2_2664	2736
GLRX_2674	2745
GLUD1_2678	2746
GLUL_19900	2752
GNA11_2692	2767
GNA15_2693	2769
GNAI1_2696	2770
GNAI2_28208	2771
GNAI3_13219	2773
GNAI3_28256	2773
GNAL_2698	2774
GNAQ_2701	2776
GNAS_2704	2778
GNB1_2706	2782
GNB3_17839	2784
GNGT1_28262	2792
GNRHR_13123	2798
GNS_2725	2799
GOT1_2737	2805
SFN_6269	2810
GPC1_2744	2817
GPI_2753	2821
GPR18_23181	2841
GPER_2750	2852
GPS1_26008	2873
GPX1_16566	2876
GPX2_11201	2877
GPX4_17664	2879
GRB7_28219	2886
GRB10_2771	2887
GRB14_22206	2888
GRN_2799	2896
GRIK4_24451	2900
GRIN1_2787	2902
GRIN2A_25164	2903
GRIN2B_25161	2904
GRIN2C_25162	2905
GRIN2D_25159	2906
NR3C1_4689	2908
GRM4_2797	2914
CXCL1_28308	2919
CXCL2_1672	2920
CXCL2_28232	2920
CXCL3_18386	2921
GSK3B_2810	2932
GSR_21104	2936
GSR_28346	2936
GSTA2_17119	2939
GSTA2_2817	2939
GSTA3_17118	2940
GSTA4_14580	2941
GSTM1_10645	2944
GSTM2_2823	2946
GSTM3_17117	2947
GSTP1_24644	2950
GSTZ1_2830	2954
MSH6_4310	2956
GTF2A2_2833	2958
GTF2E2_2835	2961
GTF2H2B_18022	2966
GTF2H2C_2837	2970
GTF2IP1_28161	2970
GUCY1A3_26526	2982
GUCY1A3_27296	2982
GUCY1B3_11762	2983
GUSB_19359	2990
GZMA_2853	3001
GZMB_2856	3002
GZMK_15088	3003
H1F0_22378	3005
HIST1H1C_2950	3006
HIST1H1E_14544	3008
HIST1H2AE_2951	3012
H2AFX_26072	3014
H2AFZ_2864	3015
HIST1H2BD_18171	3017
HIST1H2BD_27314	3017
HIST1H2BB_12129	3018
HSD17B10_3112	3028
HADHA_2875	3030
HADH_2872	3033
HBA1_2887	3039
HBA2_23236	3039
HBA1_2887	3040
HBA2_23236	3040
HBB_2888	3043
HBD_2891	3045
HBG2_19361	3048
HBQ1_28359	3049
HCK_26429	3055
HCLS1_21855	3059
HDAC2_2900	3066
HELLS_21751	3070
NCKAP1L_26591	3071
HEXA_2929	3073
HEXB_2932	3074
CFH_27007	3075
CFHR1_28694	3078
HGF_15098	3082
HIF1A_2945	3091
UBE2K_19279	3093
HK1_2971	3098
HK3_23321	3101
HLA-A_2975	3105
HLA-B_2976	3106
HLA-C_2979	3107
HLA-DMA_27315	3108
HLA-DMB_10963	3109
HLA-DPA1_2983	3113
HLA-DPB1_17856	3115
HLA-DQA1_2987	3117
HLA-DQA2_25825	3118
HLA-DQB1_19840	3119
HLA-DQB1_28328	3119
HLA-DQB1_28329	3119
HLA-DQB1_2990	3119
HLA-DRA_2993	3122
HLA-DRB1_2994	3123
HLA-DRB3_2995	3125
HLA-DRB4_23880	3126
HLA-DRB5_15922	3127
HLA-DRB5_2997	3127
HLA-E_3000	3133
HLA-F_3003	3134
HLA-G_28909	3135
HMGCR_3029	3156
HMGCS1_3030	3157
HMGCS2_16503	3158
HMMR_3040	3161
HMOX1_3041	3162
FOXA1_22204	3169
HNF4A_28261	3172
ONECUT1_15460	3175
HNRNPF_17115	3185
HOXA5_3080	3202
HOXA9_16016	3205
HOXA10_3077	3206
HOXB2_23347	3212
HOXD4_13252	3233
HOXD8_12050	3234
HOXD10_15423	3236
HP_3085	3240
HPN_25853	3249
HPN_3091	3249
HPR_3094	3250
HPRT1_3097	3251
HES1_2925	3280
HSD3B1_16639	3283
HSD3B2_10507	3284
HSD11B2_12187	3291
DNAJB2_1906	3300
HSPA1A_3135	3303
HSPA1B_3136	3303
HSPA1A_3135	3304
HSPA1B_3136	3304
HSPA1L_20369	3305
HSPA2_13514	3306
HSPA4_3139	3308
HSPA5_14023	3309
HSPA6_21239	3310
HSPA8_3142	3312
HSPB1_3144	3315
HSP90AA1_3127	3320
HSP90AA2_28191	3324
HSP90AB1_3128	3326
HSPD1_3152	3329
HSPE1_27335	3336
DNAJB1_1898	3337
HSPG2_3153	3339
HTR1B_28290	3351
HTR5A_24873	3361
HTR6_24114	3362
IARS_14941	3376
ICAM1_3187	3383
ICAM3_28211	3385
IRF8_20223	3394
ICT1_3192	3396
ID1_14943	3397
ID2_3198	3398
ID3_14942	3399
IDE_3201	3416
IDH3A_15224	3419
