Category ID	Category Name	Category Component
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	2224
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	1595
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	3422
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	2222
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	1717
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	6713
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	3157
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	50814
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	4047
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	4597
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	3949
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	7108
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	230
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	10682
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	6319
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	10654
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	4598
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	4023
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	6309
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	9415
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	3156
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	51478
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	312
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	6721
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	5833
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	55902
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	467
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	127
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	23474
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	1891
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	2990
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	2194
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	3958
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	22809
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	308
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	94241
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	1119
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	2946
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	39
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	552
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	5359
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	1191
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	54206
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	57761
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	58191
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	51330
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	71
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	182
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	5641
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	26270
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	493869
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	10957
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	118429
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	114569
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	928
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	5468
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	2731
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	6811
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	134429
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	1499
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	27346
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	116496
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	5165
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	5329
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	7869
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	2770
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	20
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	6311
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	4783
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	214
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	2171
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	6282
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	132864
M5893	HALLMARK_MITOTIC_SPINDLE	9181
M5893	HALLMARK_MITOTIC_SPINDLE	23332
M5893	HALLMARK_MITOTIC_SPINDLE	3832
